Area Code,Area name,Working households (thousands),Working households (per cent),Mixed households (thousands),Mixed households (per cent),Workless households (thousands),Workless households (per cent), Co-effient of variation for working households [note 2] , Co-effient of variation for mixed households [note 2] , Co-effient of variation for workless households  [note 2]
E09000007,Camden,40,45.8,31,35.5,16,18.7,12.9,16.0,24.8
E09000012,Hackney,74,71.7,20,19.4,9,8.8,7.0,22.6,35.6
E09000013,Hammersmith and Fulham,35,57.5,18,29.7,8,12.7,8.3,14.9,25.3
E09000014,Haringey,60,61.3,26,26.2,12,12.6,6.6,13.9,21.8
E09000019,Islington,54,61.5,22,25.1,12,13.5,7.1,15.5,22.7
E09000020,Kensington and Chelsea,21,46.3,16,34.7,9,19.0,11.3,14.4,21.6
E09000022,Lambeth,85,63.7,33,24.4,16,11.9,6.9,16.0,24.8
E09000023,Lewisham,68,61.4,29,26.3,14,12.3,6.8,14.4,23.0
E09000025,Newham,64,57.8,34,30.6,13,11.6,9.4,16.5,30.3
E09000028,Southwark,73,57.2,38,29.6,17,13.3,7.3,13.0,21.5
E09000030,Tower Hamlets,73,60.2,37,30.3,12,9.5,7.5,13.9,28.3
E09000032,Wandsworth,78,65.0,30,25.0,12,10.1,6.2,14.6,25.1
E09000033,Westminster,39,50.7,28,35.8,10,13.5,10.9,14.7,27.9
E09000002,Barking and Dagenham,27,40.8,30,45.8,9,13.4,13.0,11.8,27.5
E09000003,Barnet,64,51.9,41,33.1,19,15.0,7.6,11.3,18.9
E09000004,Bexley,37,49.8,28,37.3,10,12.9,8.6,11.1,22.1
E09000005,Brent,43,46.0,38,40.7,12,13.3,12.3,13.8,29.1
E09000006,Bromley,72,63.8,29,26.0,11,10.1,6.3,14.2,25.0
E09000008,Croydon,81,57.7,41,29.7,18,12.6,6.9,12.3,21.1
E09000009,Ealing,68,58.3,38,32.6,11,9.1,8.0,13.5,29.7
E09000010,Enfield,64,57.8,28,24.9,19,17.3,7.5,15.2,19.1
E09000011,Greenwich,65,60.7,29,26.8,13,12.5,7.0,14.5,23.1
E09000015,Harrow,35,50.3,26,38.3,8,11.3,9.2,11.8,26.0
E09000016,Havering,50,60.5,25,29.4,8,10.0,6.4,12.3,23.8
E09000017,Hillingdon,44,49.2,37,41.6,8,9.2,10.3,12.0,31.8
E09000018,Hounslow,49,53.9,31,34.1,11,12.0,9.1,13.6,26.5
E09000021,Kingston upon Thames,39,66.8,16,27.7,3,5.5,5.9,13.6,34.8
E09000024,Merton,48,62.3,21,27.7,8,10.0,6.7,14.0,26.0
E09000026,Redbridge,38,43.8,37,42.6,12,13.6,10.7,10.9,23.7
E09000027,Richmond upon Thames,39,57.9,20,29.1,9,13.0,6.9,12.7,21.1
E09000029,Sutton,37,56.9,18,28.2,10,14.9,7.3,13.3,20.0
E09000031,Waltham Forest,55,57.7,30,30.9,11,11.4,8.0,14.1,26.3
